Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-16	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	11.85
2020-01-16	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	9.39
2020-01-16	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	5.63
2020-01-16	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	5.22
2020-01-16	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	4.46
2020-01-16	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	3.55
2020-01-16	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	2.87
2020-01-16	广东省	深圳市	Guangdong	Shenzhen	Hubei	Wuhan	2.86
2020-01-16	北京市	北京市	Beijing	Beijing	Hubei	Wuhan	2.5
2020-01-16	湖北省	荆门市	Hubei	Jingmen	Hubei	Wuhan	2.43
2020-01-16	广东省	广州市	Guangdong	Guangzhou	Hubei	Wuhan	2.27
2020-01-16	湖北省	随州市	Hubei	Suizhou	Hubei	Wuhan	2.22
2020-01-16	上海市	上海市	Shanghai	Shanghai	Hubei	Wuhan	2.18
2020-01-16	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	2.16
2020-01-16	湖北省	仙桃市	Hubei	Xiantao	Hubei	Wuhan	2.1
2020-01-16	湖南省	长沙市	Hunan	Changsha	Hubei	Wuhan	1.91
2020-01-16	湖北省	十堰市	Hubei	Shiyan	Hubei	Wuhan	1.3
2020-01-16	湖北省	天门市	Hubei	Tianmen	Hubei	Wuhan	1.21
2020-01-16	河南省	信阳市	Henan	Xinyang	Hubei	Wuhan	1.17
2020-01-16	广东省	东莞市	Guangdong	Dongguan	Hubei	Wuhan	1.12
2020-01-16	重庆市	重庆市	Chongqing	Chongqing	Hubei	Wuhan	0.98
2020-01-16	湖北省	恩施土家族苗族自治州	Hubeisheng	Enshitujiazumiaozuzizhizhou	Hubei	Wuhan	0.97
2020-01-16	浙江省	杭州市	Zhejiang	Hangzhou	Hubei	Wuhan	0.94
2020-01-16	江苏省	苏州市	Jiangsu	Suzhou	Hubei	Wuhan	0.9
2020-01-16	河南省	郑州市	Henan	Zhengzhou	Hubei	Wuhan	0.89
2020-01-16	湖北省	潜江市	Hubei	Qianjiang	Hubei	Wuhan	0.86
2020-01-16	四川省	成都市	Sichuan	Chengdu	Hubei	Wuhan	0.83
2020-01-16	浙江省	温州市	Zhejiang	Wenzhou	Hubei	Wuhan	0.82
2020-01-16	江苏省	南京市	Jiangsu	Nanjing	Hubei	Wuhan	0.8
2020-01-16	安徽省	合肥市	Anhui	Hefei	Hubei	Wuhan	0.73
2020-01-16	江西省	南昌市	Jiangxi	Nanchang	Hubei	Wuhan	0.63
2020-01-16	广东省	佛山市	Guangdong	Foshan	Hubei	Wuhan	0.63
2020-01-16	陕西省	西安市	Shaanxi	Xi'an	Hubei	Wuhan	0.55
2020-01-16	浙江省	宁波市	Zhejiang	Ningbo	Hubei	Wuhan	0.52
2020-01-16	福建省	厦门市	Fujian	Xiamen	Hubei	Wuhan	0.5
2020-01-16	天津市	天津市	Tianjin	Tianjin	Hubei	Wuhan	0.47
2020-01-16	江西省	九江市	Jiangxi	Jiujiang	Hubei	Wuhan	0.47
2020-01-16	湖南省	岳阳市	Hunan	Yueyang	Hubei	Wuhan	0.46
2020-01-16	福建省	福州市	Fujian	Fuzhou	Hubei	Wuhan	0.46
2020-01-16	江苏省	无锡市	Jiangsu	Wuxi	Hubei	Wuhan	0.39
2020-01-16	浙江省	金华市	Zhejiang	Jinhua	Hubei	Wuhan	0.37
2020-01-16	云南省	昆明市	Yunnan	Kunming	Hubei	Wuhan	0.36
2020-01-16	福建省	泉州市	Fujian	Quanzhou	Hubei	Wuhan	0.35
2020-01-16	河南省	驻马店市	Henan	Zhumadian	Hubei	Wuhan	0.34
2020-01-16	河南省	南阳市	Henan	Nanyang	Hubei	Wuhan	0.34
2020-01-16	广东省	惠州市	Guangdong	Huizhou	Hubei	Wuhan	0.33
2020-01-16	广东省	中山市	Guangdong	Zhongshan	Hubei	Wuhan	0.32
2020-01-16	浙江省	台州市	Zhejiang	Taizhou	Hubei	Wuhan	0.3
2020-01-16	浙江省	绍兴市	Zhejiang	Shaoxing	Hubei	Wuhan	0.26
2020-01-16	山东省	青岛市	Shandong	Qingdao	Hubei	Wuhan	0.26
2020-01-16	河北省	石家庄市	Hebei	Shijiazhuang	Hubei	Wuhan	0.25
2020-01-16	浙江省	嘉兴市	Zhejiang	Jiaxing	Hubei	Wuhan	0.25
2020-01-16	安徽省	安庆市	Anhui	Anqing	Hubei	Wuhan	0.25
2020-01-16	广西壮族自治区	南宁市	Guangxi	Nanning	Hubei	Wuhan	0.24
2020-01-16	江苏省	常州市	Jiangsu	Changzhou	Hubei	Wuhan	0.23
2020-01-16	广东省	珠海市	Guangdong	Zhuhai	Hubei	Wuhan	0.22
2020-01-16	江苏省	南通市	Jiangsu	Nantong	Hubei	Wuhan	0.22
2020-01-16	贵州省	贵阳市	Guizhou	Guiyang	Hubei	Wuhan	0.21
2020-01-16	安徽省	阜阳市	Anhui	Fuyang	Hubei	Wuhan	0.2
2020-01-16	湖南省	常德市	Hunan	Changde	Hubei	Wuhan	0.2
2020-01-16	黑龙江省	哈尔滨市	Heilongjiang	Harbin	Hubei	Wuhan	0.19
2020-01-16	海南省	三亚市	Hainan	Sanya	Hubei	Wuhan	0.19
2020-01-16	湖南省	株洲市	Hunan	Zhuzhou	Hubei	Wuhan	0.18
2020-01-16	山东省	济南市	Shandong	Jinan	Hubei	Wuhan	0.17
2020-01-16	辽宁省	沈阳市	Liaoning	Shenyang	Hubei	Wuhan	0.17
2020-01-16	江西省	赣州市	Jiangxi	Ganzhou	Hubei	Wuhan	0.16
2020-01-16	山西省	太原市	Shanxi	Taiyuan	Hubei	Wuhan	0.16
2020-01-16	海南省	海口市	Hainan	Haikou	Hubei	Wuhan	0.16
2020-01-16	湖南省	衡阳市	Hunan	Hengyang	Hubei	Wuhan	0.16
2020-01-16	河南省	周口市	Henan	Zhoukou	Hubei	Wuhan	0.16
2020-01-16	浙江省	湖州市	Zhejiang	Huzhou	Hubei	Wuhan	0.15
2020-01-16	江苏省	镇江市	Jiangsu	Zhenjiang	Hubei	Wuhan	0.14
2020-01-16	江苏省	徐州市	Jiangsu	Xuzhou	Hubei	Wuhan	0.14
2020-01-16	安徽省	六安市	Anhui	Lu'an	Hubei	Wuhan	0.14
2020-01-16	河南省	洛阳市	Henan	Luoyang	Hubei	Wuhan	0.14
2020-01-16	广西壮族自治区	桂林市	Guangxi	Guilin	Hubei	Wuhan	0.13
2020-01-16	河北省	廊坊市	Hebei	Langfang	Hubei	Wuhan	0.13
2020-01-16	新疆维吾尔自治区	乌鲁木齐市	Xinjiang	Ürümqi	Hubei	Wuhan	0.13
2020-01-16	河北省	邯郸市	Hebei	Handan	Hubei	Wuhan	0.13
2020-01-16	安徽省	芜湖市	Anhui	Wuhu	Hubei	Wuhan	0.13
2020-01-16	辽宁省	大连市	Liaoning	Dalian	Hubei	Wuhan	0.13
2020-01-16	广东省	汕头市	Guangdong	Shantou	Hubei	Wuhan	0.12
2020-01-16	江苏省	泰州市	Jiangsu	Taizhou	Hubei	Wuhan	0.12
2020-01-16	河南省	漯河市	Henan	Luohe	Hubei	Wuhan	0.12
2020-01-16	湖南省	湘潭市	Hunan	Xiangtan	Hubei	Wuhan	0.12
2020-01-16	江西省	宜春市	Jiangxi	Yichun	Hubei	Wuhan	0.11
2020-01-16	河北省	保定市	Hebei	Baoding	Hubei	Wuhan	0.11
2020-01-16	吉林省	长春市	Jilin	Changchun	Hubei	Wuhan	0.11
2020-01-16	河南省	商丘市	Henan	Shangqiu	Hubei	Wuhan	0.11
2020-01-16	江苏省	扬州市	Jiangsu	Yangzhou	Hubei	Wuhan	0.1
2020-01-16	河南省	开封市	Henan	Kaifeng	Hubei	Wuhan	0.1
2020-01-16	甘肃省	兰州市	Gansu	Lanzhou	Hubei	Wuhan	0.1
2020-01-16	江西省	景德镇市	Jiangxi	Jingdezhen	Hubei	Wuhan	0.1
2020-01-16	广西壮族自治区	柳州市	Guangxi	Liuzhou	Hubei	Wuhan	0.1
2020-01-16	河南省	许昌市	Henan	Xuchang	Hubei	Wuhan	0.1
2020-01-16	江西省	上饶市	Jiangxi	Shangrao	Hubei	Wuhan	0.09
2020-01-16	江苏省	盐城市	Jiangsu	Yancheng	Hubei	Wuhan	0.09
2020-01-16	山东省	临沂市	Shandong	Linyi	Hubei	Wuhan	0.09
2020-01-16	河南省	新乡市	Henan	Xinxiang	Hubei	Wuhan	0.09
2020-01-16	广东省	江门市	Guangdong	Jiangmen	Hubei	Wuhan	0.09
2020-01-17	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	11.89
2020-01-17	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	9.25
2020-01-17	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	5.26
2020-01-17	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	5.24
2020-01-17	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	4.5
2020-01-17	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	3.61
2020-01-17	广东省	深圳市	Guangdong	Shenzhen	Hubei	Wuhan	3.32
2020-01-17	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	2.86
2020-01-17	北京市	北京市	Beijing	Beijing	Hubei	Wuhan	2.77
2020-01-17	上海市	上海市	Shanghai	Shanghai	Hubei	Wuhan	2.53
2020-01-17	广东省	广州市	Guangdong	Guangzhou	Hubei	Wuhan	2.41
2020-01-17	湖北省	荆门市	Hubei	Jingmen	Hubei	Wuhan	2.39
2020-01-17	湖北省	随州市	Hubei	Suizhou	Hubei	Wuhan	2.18
2020-01-17	湖北省	仙桃市	Hubei	Xiantao	Hubei	Wuhan	2.16
2020-01-17	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	2.07
2020-01-17	湖南省	长沙市	Hunan	Changsha	Hubei	Wuhan	1.63
2020-01-17	湖北省	天门市	Hubei	Tianmen	Hubei	Wuhan	1.31
2020-01-17	广东省	东莞市	Guangdong	Dongguan	Hubei	Wuhan	1.27
2020-01-17	湖北省	十堰市	Hubei	Shiyan	Hubei	Wuhan	1.24
2020-01-17	浙江省	杭州市	Zhejiang	Hangzhou	Hubei	Wuhan	1.2
2020-01-17	江苏省	苏州市	Jiangsu	Suzhou	Hubei	Wuhan	1.17
2020-01-17	河南省	信阳市	Henan	Xinyang	Hubei	Wuhan	0.9
2020-01-17	重庆市	重庆市	Chongqing	Chongqing	Hubei	Wuhan	0.89
2020-01-17	河南省	郑州市	Henan	Zhengzhou	Hubei	Wuhan	0.88
2020-01-17	江苏省	南京市	Jiangsu	Nanjing	Hubei	Wuhan	0.87
2020-01-17	湖北省	恩施土家族苗族自治州	Hubeisheng	Enshitujiazumiaozuzizhizhou	Hubei	Wuhan	0.87
2020-01-17	湖北省	潜江市	Hubei	Qianjiang	Hubei	Wuhan	0.87
2020-01-17	四川省	成都市	Sichuan	Chengdu	Hubei	Wuhan	0.78
2020-01-17	浙江省	温州市	Zhejiang	Wenzhou	Hubei	Wuhan	0.75
2020-01-17	广东省	佛山市	Guangdong	Foshan	Hubei	Wuhan	0.7
2020-01-17	安徽省	合肥市	Anhui	Hefei	Hubei	Wuhan	0.65
2020-01-17	浙江省	宁波市	Zhejiang	Ningbo	Hubei	Wuhan	0.59
2020-01-17	江西省	南昌市	Jiangxi	Nanchang	Hubei	Wuhan	0.52
2020-01-17	江苏省	无锡市	Jiangsu	Wuxi	Hubei	Wuhan	0.48
2020-01-17	陕西省	西安市	Shaanxi	Xi'an	Hubei	Wuhan	0.47
2020-01-17	江西省	九江市	Jiangxi	Jiujiang	Hubei	Wuhan	0.47
2020-01-17	福建省	福州市	Fujian	Fuzhou	Hubei	Wuhan	0.45
2020-01-17	福建省	厦门市	Fujian	Xiamen	Hubei	Wuhan	0.43
2020-01-17	湖南省	岳阳市	Hunan	Yueyang	Hubei	Wuhan	0.4
2020-01-17	广东省	中山市	Guangdong	Zhongshan	Hubei	Wuhan	0.4
2020-01-17	浙江省	金华市	Zhejiang	Jinhua	Hubei	Wuhan	0.38
2020-01-17	天津市	天津市	Tianjin	Tianjin	Hubei	Wuhan	0.37
2020-01-17	江苏省	常州市	Jiangsu	Changzhou	Hubei	Wuhan	0.34
2020-01-17	广东省	惠州市	Guangdong	Huizhou	Hubei	Wuhan	0.34
2020-01-17	福建省	泉州市	Fujian	Quanzhou	Hubei	Wuhan	0.33
2020-01-17	河南省	驻马店市	Henan	Zhumadian	Hubei	Wuhan	0.33
2020-01-17	浙江省	台州市	Zhejiang	Taizhou	Hubei	Wuhan	0.32
2020-01-17	河南省	南阳市	Henan	Nanyang	Hubei	Wuhan	0.3
2020-01-17	云南省	昆明市	Yunnan	Kunming	Hubei	Wuhan	0.3
2020-01-17	浙江省	绍兴市	Zhejiang	Shaoxing	Hubei	Wuhan	0.3
2020-01-17	浙江省	嘉兴市	Zhejiang	Jiaxing	Hubei	Wuhan	0.3
2020-01-17	广西壮族自治区	南宁市	Guangxi	Nanning	Hubei	Wuhan	0.27
2020-01-17	广东省	珠海市	Guangdong	Zhuhai	Hubei	Wuhan	0.27
2020-01-17	江苏省	南通市	Jiangsu	Nantong	Hubei	Wuhan	0.25
2020-01-17	山东省	青岛市	Shandong	Qingdao	Hubei	Wuhan	0.22
2020-01-17	贵州省	贵阳市	Guizhou	Guiyang	Hubei	Wuhan	0.22
2020-01-17	安徽省	阜阳市	Anhui	Fuyang	Hubei	Wuhan	0.2
2020-01-17	河北省	石家庄市	Hebei	Shijiazhuang	Hubei	Wuhan	0.2
2020-01-17	安徽省	安庆市	Anhui	Anqing	Hubei	Wuhan	0.18
2020-01-17	江苏省	徐州市	Jiangsu	Xuzhou	Hubei	Wuhan	0.17
2020-01-17	山东省	济南市	Shandong	Jinan	Hubei	Wuhan	0.17
2020-01-17	海南省	三亚市	Hainan	Sanya	Hubei	Wuhan	0.16
2020-01-17	安徽省	六安市	Anhui	Lu'an	Hubei	Wuhan	0.15
2020-01-17	湖南省	株洲市	Hunan	Zhuzhou	Hubei	Wuhan	0.15
2020-01-17	广西壮族自治区	桂林市	Guangxi	Guilin	Hubei	Wuhan	0.15
2020-01-17	江西省	上饶市	Jiangxi	Shangrao	Hubei	Wuhan	0.15
2020-01-17	江西省	赣州市	Jiangxi	Ganzhou	Hubei	Wuhan	0.15
2020-01-17	江苏省	镇江市	Jiangsu	Zhenjiang	Hubei	Wuhan	0.15
2020-01-17	河北省	邯郸市	Hebei	Handan	Hubei	Wuhan	0.15
2020-01-17	湖南省	衡阳市	Hunan	Hengyang	Hubei	Wuhan	0.15
2020-01-17	江苏省	扬州市	Jiangsu	Yangzhou	Hubei	Wuhan	0.14
2020-01-17	山西省	太原市	Shanxi	Taiyuan	Hubei	Wuhan	0.14
2020-01-17	辽宁省	大连市	Liaoning	Dalian	Hubei	Wuhan	0.14
2020-01-17	黑龙江省	哈尔滨市	Heilongjiang	Harbin	Hubei	Wuhan	0.14
2020-01-17	辽宁省	沈阳市	Liaoning	Shenyang	Hubei	Wuhan	0.14
2020-01-17	河南省	洛阳市	Henan	Luoyang	Hubei	Wuhan	0.14
2020-01-17	海南省	海口市	Hainan	Haikou	Hubei	Wuhan	0.13
2020-01-17	河南省	周口市	Henan	Zhoukou	Hubei	Wuhan	0.13
2020-01-17	湖南省	常德市	Hunan	Changde	Hubei	Wuhan	0.13
2020-01-17	浙江省	湖州市	Zhejiang	Huzhou	Hubei	Wuhan	0.13
2020-01-17	河北省	保定市	Hebei	Baoding	Hubei	Wuhan	0.13
2020-01-17	广东省	江门市	Guangdong	Jiangmen	Hubei	Wuhan	0.12
2020-01-17	河南省	商丘市	Henan	Shangqiu	Hubei	Wuhan	0.12
2020-01-17	河南省	新乡市	Henan	Xinxiang	Hubei	Wuhan	0.12
2020-01-17	江西省	宜春市	Jiangxi	Yichun	Hubei	Wuhan	0.11
2020-01-17	新疆维吾尔自治区	乌鲁木齐市	Xinjiang	Ürümqi	Hubei	Wuhan	0.11
2020-01-17	福建省	漳州市	Fujian	Zhangzhou	Hubei	Wuhan	0.1
2020-01-17	江苏省	泰州市	Jiangsu	Taizhou	Hubei	Wuhan	0.1
2020-01-17	安徽省	芜湖市	Anhui	Wuhu	Hubei	Wuhan	0.1
2020-01-17	河南省	开封市	Henan	Kaifeng	Hubei	Wuhan	0.1
2020-01-17	广东省	清远市	Guangdong	Qingyuan	Hubei	Wuhan	0.09
2020-01-17	广东省	汕头市	Guangdong	Shantou	Hubei	Wuhan	0.09
2020-01-17	广西壮族自治区	北海市	Guangxi	Beihai	Hubei	Wuhan	0.09
2020-01-17	甘肃省	兰州市	Gansu	Lanzhou	Hubei	Wuhan	0.09
2020-01-17	湖南省	湘潭市	Hunan	Xiangtan	Hubei	Wuhan	0.09
2020-01-17	河北省	廊坊市	Hebei	Langfang	Hubei	Wuhan	0.09
2020-01-17	广东省	湛江市	Guangdong	Zhanjiang	Hubei	Wuhan	0.08
2020-01-17	广西壮族自治区	柳州市	Guangxi	Liuzhou	Hubei	Wuhan	0.08
2020-01-17	吉林省	长春市	Jilin	Changchun	Hubei	Wuhan	0.08
2020-01-17	河南省	许昌市	Henan	Xuchang	Hubei	Wuhan	0.08
2020-01-18	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	11.88
2020-01-18	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	8.18
2020-01-18	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	5.31
2020-01-18	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	5.12
2020-01-18	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	4.39
2020-01-18	广东省	深圳市	Guangdong	Shenzhen	Hubei	Wuhan	3.75
2020-01-18	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	3.58
2020-01-18	上海市	上海市	Shanghai	Shanghai	Hubei	Wuhan	3.54
2020-01-18	北京市	北京市	Beijing	Beijing	Hubei	Wuhan	3.13
2020-01-18	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	2.85
2020-01-18	广东省	广州市	Guangdong	Guangzhou	Hubei	Wuhan	2.6
2020-01-18	湖北省	荆门市	Hubei	Jingmen	Hubei	Wuhan	2.21
2020-01-18	湖北省	随州市	Hubei	Suizhou	Hubei	Wuhan	2.12
2020-01-18	湖北省	仙桃市	Hubei	Xiantao	Hubei	Wuhan	2.11
2020-01-18	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	2.08
2020-01-18	湖南省	长沙市	Hunan	Changsha	Hubei	Wuhan	1.65
2020-01-18	广东省	东莞市	Guangdong	Dongguan	Hubei	Wuhan	1.38
2020-01-18	江苏省	苏州市	Jiangsu	Suzhou	Hubei	Wuhan	1.32
2020-01-18	浙江省	杭州市	Zhejiang	Hangzhou	Hubei	Wuhan	1.24
2020-01-18	湖北省	十堰市	Hubei	Shiyan	Hubei	Wuhan	1.23
2020-01-18	湖北省	天门市	Hubei	Tianmen	Hubei	Wuhan	1.18
2020-01-18	河南省	信阳市	Henan	Xinyang	Hubei	Wuhan	1.09
2020-01-18	重庆市	重庆市	Chongqing	Chongqing	Hubei	Wuhan	1
2020-01-18	湖北省	潜江市	Hubei	Qianjiang	Hubei	Wuhan	0.92
2020-01-18	湖北省	恩施土家族苗族自治州	Hubeisheng	Enshitujiazumiaozuzizhizhou	Hubei	Wuhan	0.83
2020-01-18	四川省	成都市	Sichuan	Chengdu	Hubei	Wuhan	0.78
2020-01-18	江苏省	南京市	Jiangsu	Nanjing	Hubei	Wuhan	0.76
2020-01-18	河南省	郑州市	Henan	Zhengzhou	Hubei	Wuhan	0.71
2020-01-18	浙江省	宁波市	Zhejiang	Ningbo	Hubei	Wuhan	0.68
2020-01-18	浙江省	温州市	Zhejiang	Wenzhou	Hubei	Wuhan	0.66
2020-01-18	广东省	佛山市	Guangdong	Foshan	Hubei	Wuhan	0.6
2020-01-18	江西省	南昌市	Jiangxi	Nanchang	Hubei	Wuhan	0.58
2020-01-18	安徽省	合肥市	Anhui	Hefei	Hubei	Wuhan	0.56
2020-01-18	陕西省	西安市	Shaanxi	Xi'an	Hubei	Wuhan	0.53
2020-01-18	福建省	厦门市	Fujian	Xiamen	Hubei	Wuhan	0.46
2020-01-18	福建省	福州市	Fujian	Fuzhou	Hubei	Wuhan	0.42
2020-01-18	江西省	九江市	Jiangxi	Jiujiang	Hubei	Wuhan	0.42
2020-01-18	江苏省	无锡市	Jiangsu	Wuxi	Hubei	Wuhan	0.41
2020-01-18	湖南省	岳阳市	Hunan	Yueyang	Hubei	Wuhan	0.4
2020-01-18	云南省	昆明市	Yunnan	Kunming	Hubei	Wuhan	0.39
2020-01-18	天津市	天津市	Tianjin	Tianjin	Hubei	Wuhan	0.37
2020-01-18	河南省	驻马店市	Henan	Zhumadian	Hubei	Wuhan	0.37
2020-01-18	浙江省	金华市	Zhejiang	Jinhua	Hubei	Wuhan	0.37
2020-01-18	福建省	泉州市	Fujian	Quanzhou	Hubei	Wuhan	0.35
2020-01-18	广东省	惠州市	Guangdong	Huizhou	Hubei	Wuhan	0.33
2020-01-18	河南省	南阳市	Henan	Nanyang	Hubei	Wuhan	0.32
2020-01-18	广东省	中山市	Guangdong	Zhongshan	Hubei	Wuhan	0.32
2020-01-18	浙江省	台州市	Zhejiang	Taizhou	Hubei	Wuhan	0.28
2020-01-18	江苏省	常州市	Jiangsu	Changzhou	Hubei	Wuhan	0.27
2020-01-18	浙江省	嘉兴市	Zhejiang	Jiaxing	Hubei	Wuhan	0.27
2020-01-18	广东省	珠海市	Guangdong	Zhuhai	Hubei	Wuhan	0.27
2020-01-18	山东省	青岛市	Shandong	Qingdao	Hubei	Wuhan	0.26
2020-01-18	江苏省	南通市	Jiangsu	Nantong	Hubei	Wuhan	0.24
2020-01-18	浙江省	绍兴市	Zhejiang	Shaoxing	Hubei	Wuhan	0.23
2020-01-18	广西壮族自治区	南宁市	Guangxi	Nanning	Hubei	Wuhan	0.21
2020-01-18	贵州省	贵阳市	Guizhou	Guiyang	Hubei	Wuhan	0.21
2020-01-18	河北省	石家庄市	Hebei	Shijiazhuang	Hubei	Wuhan	0.2
2020-01-18	安徽省	安庆市	Anhui	Anqing	Hubei	Wuhan	0.19
2020-01-18	江西省	赣州市	Jiangxi	Ganzhou	Hubei	Wuhan	0.19
2020-01-18	安徽省	阜阳市	Anhui	Fuyang	Hubei	Wuhan	0.17
2020-01-18	湖南省	株洲市	Hunan	Zhuzhou	Hubei	Wuhan	0.17
2020-01-18	海南省	三亚市	Hainan	Sanya	Hubei	Wuhan	0.17
2020-01-18	山东省	济南市	Shandong	Jinan	Hubei	Wuhan	0.16
2020-01-18	海南省	海口市	Hainan	Haikou	Hubei	Wuhan	0.16
2020-01-18	安徽省	六安市	Anhui	Lu'an	Hubei	Wuhan	0.15
2020-01-18	湖南省	衡阳市	Hunan	Hengyang	Hubei	Wuhan	0.15
2020-01-18	广西壮族自治区	桂林市	Guangxi	Guilin	Hubei	Wuhan	0.15
2020-01-18	辽宁省	大连市	Liaoning	Dalian	Hubei	Wuhan	0.15
2020-01-18	江苏省	徐州市	Jiangsu	Xuzhou	Hubei	Wuhan	0.15
2020-01-18	湖南省	常德市	Hunan	Changde	Hubei	Wuhan	0.14
2020-01-18	河南省	周口市	Henan	Zhoukou	Hubei	Wuhan	0.14
2020-01-18	浙江省	湖州市	Zhejiang	Huzhou	Hubei	Wuhan	0.13
2020-01-18	吉林省	长春市	Jilin	Changchun	Hubei	Wuhan	0.13
2020-01-18	辽宁省	沈阳市	Liaoning	Shenyang	Hubei	Wuhan	0.13
2020-01-18	江苏省	扬州市	Jiangsu	Yangzhou	Hubei	Wuhan	0.12
2020-01-18	江西省	上饶市	Jiangxi	Shangrao	Hubei	Wuhan	0.12
2020-01-18	黑龙江省	哈尔滨市	Heilongjiang	Harbin	Hubei	Wuhan	0.12
2020-01-18	广东省	汕头市	Guangdong	Shantou	Hubei	Wuhan	0.12
2020-01-18	山西省	太原市	Shanxi	Taiyuan	Hubei	Wuhan	0.11
2020-01-18	河南省	洛阳市	Henan	Luoyang	Hubei	Wuhan	0.11
2020-01-18	江苏省	泰州市	Jiangsu	Taizhou	Hubei	Wuhan	0.11
2020-01-18	福建省	漳州市	Fujian	Zhangzhou	Hubei	Wuhan	0.11
2020-01-18	河南省	商丘市	Henan	Shangqiu	Hubei	Wuhan	0.11
2020-01-18	江西省	宜春市	Jiangxi	Yichun	Hubei	Wuhan	0.11
2020-01-18	甘肃省	兰州市	Gansu	Lanzhou	Hubei	Wuhan	0.1
2020-01-18	河北省	保定市	Hebei	Baoding	Hubei	Wuhan	0.1
2020-01-18	广东省	江门市	Guangdong	Jiangmen	Hubei	Wuhan	0.1
2020-01-18	安徽省	芜湖市	Anhui	Wuhu	Hubei	Wuhan	0.1
2020-01-18	河北省	邯郸市	Hebei	Handan	Hubei	Wuhan	0.1
2020-01-18	广西壮族自治区	柳州市	Guangxi	Liuzhou	Hubei	Wuhan	0.1
2020-01-18	广东省	湛江市	Guangdong	Zhanjiang	Hubei	Wuhan	0.09
2020-01-18	河南省	新乡市	Henan	Xinxiang	Hubei	Wuhan	0.09
2020-01-18	河北省	廊坊市	Hebei	Langfang	Hubei	Wuhan	0.09
2020-01-18	河南省	开封市	Henan	Kaifeng	Hubei	Wuhan	0.09
2020-01-18	新疆维吾尔自治区	乌鲁木齐市	Xinjiang	Ürümqi	Hubei	Wuhan	0.09
2020-01-18	湖南省	益阳市	Hunan	Yiyang	Hubei	Wuhan	0.09
2020-01-18	湖南省	湘潭市	Hunan	Xiangtan	Hubei	Wuhan	0.09
2020-01-18	河南省	漯河市	Henan	Luohe	Hubei	Wuhan	0.09
2020-01-18	河南省	许昌市	Henan	Xuchang	Hubei	Wuhan	0.09
2020-01-18	福建省	莆田市	Fujian	Putian	Hubei	Wuhan	0.08
2020-01-19	湖北省	孝感市	Hubei	Xiaogan	Hubei	Wuhan	11.44
2020-01-19	湖北省	黄冈市	Hubei	Huanggang	Hubei	Wuhan	10.99
2020-01-19	湖北省	鄂州市	Hubei	Ezhou	Hubei	Wuhan	5.49
2020-01-19	湖北省	咸宁市	Hubei	Xianning	Hubei	Wuhan	5.05
2020-01-19	广东省	深圳市	Guangdong	Shenzhen	Hubei	Wuhan	4.2
2020-01-19	湖北省	荆州市	Hubei	Jingzhou	Hubei	Wuhan	4.09
2020-01-19	湖北省	黄石市	Hubei	Huangshi	Hubei	Wuhan	3.8
2020-01-19	上海市	上海市	Shanghai	Shanghai	Hubei	Wuhan	2.99
2020-01-19	北京市	北京市	Beijing	Beijing	Hubei	Wuhan	2.93
2020-01-19	湖北省	襄阳市	Hubei	Xiangyang	Hubei	Wuhan	2.6
2020-01-19	湖北省	仙桃市	Hubei	Xiantao	Hubei	Wuhan	2.17
2020-01-19	广东省	广州市	Guangdong	Guangzhou	Hubei	Wuhan	2.03
2020-01-19	湖北省	荆门市	Hubei	Jingmen	Hubei	Wuhan	2.01
2020-01-19	湖北省	宜昌市	Hubei	Yichang	Hubei	Wuhan	1.98
2020-01-19	湖北省	随州市	Hubei	Suizhou	Hubei	Wuhan	1.85
2020-01-19	湖南省	长沙市	Hunan	Changsha	Hubei	Wuhan	1.59
2020-01-19	广东省	东莞市	Guangdong	Dongguan	Hubei	Wuhan	1.28
2020-01-19	浙江省	杭州市	Zhejiang	Hangzhou	Hubei	Wuhan	1.23
